lang,model,delta,p_perm
de_gsd,bert-base-multilingual-cased,0.006510833333333334,0.6291854072963519
de_gsd,xlm-roberta-base,0.012840131578947369,0.5407296351824088
en_ewt,bert-base-multilingual-cased,-0.0481051724137931,0.5032483758120939
en_ewt,xlm-roberta-base,-0.03216381578947368,0.4942528735632184
es_ancora,bert-base-multilingual-cased,-0.056943979933110365,0.47976011994003
es_ancora,xlm-roberta-base,-0.06291315789473684,0.5072463768115942
ru_syntagrus,bert-base-multilingual-cased,-0.056978260869565214,0.4962518740629685
ru_syntagrus,xlm-roberta-base,-0.039189473684210524,0.4942528735632184
tr_imst,bert-base-multilingual-cased,0.001309767943874797,0.8220889555222389
tr_imst,xlm-roberta-base,0.008074999999999999,0.45527236381809094
zh_gsd,bert-base-multilingual-cased,-0.05003583333333333,0.5017491254372813
zh_gsd,xlm-roberta-base,-0.0027480263157894733,0.6156921539230384
