run_model,lang,S_full,S_partial,S_morph,I_add
bert-base-multilingual-cased,de_gsd,0.9659362549800796,0.4090922026180991,0.5682555492316449,-0.5455463858850315
bert-base-multilingual-cased,en_ewt,0.9431015769454436,0.4431237639328817,0.29260024260998624,-0.2963347757807864
bert-base-multilingual-cased,es_ancora,0.9709677419354839,0.43870967741935485,0.3935483870967742,-0.3870967741935484
bert-base-multilingual-cased,ru_syntagrus,0.9868490423341824,0.5526414047075426,0.6022396070235715,-0.6121090559856635
bert-base-multilingual-cased,tr_imst,0.7142575428909486,0.3405893022163726,0.000591599290080837,-0.2145533425359889
bert-base-multilingual-cased,zh_gsd,0.9538152610441767,0.5020080321285141,0.002008032128514236,-0.004016064257028273
google/rembert,de_gsd,,,,
google/rembert,en_ewt,,,,
google/rembert,es_ancora,,,,
google/rembert,ru_syntagrus,,,,
google/rembert,tr_imst,,,,
google/rembert,zh_gsd,,,,
xlm-roberta-base,de_gsd,0.9656992084432718,0.4116094986807389,0.5963060686015831,-0.5910290237467019
xlm-roberta-base,en_ewt,0.9628576003087023,0.4118226779022479,0.27955621662746666,-0.26704405619332783
xlm-roberta-base,es_ancora,0.9781553398058253,0.5024271844660195,0.44660194174757284,-0.4417475728155339
xlm-roberta-base,ru_syntagrus,0.9777158774373258,0.5487465181058496,0.6406685236768801,-0.6406685236768801
xlm-roberta-base,tr_imst,0.9195402298850575,0.3657993185631613,0.7356321839080461,-0.6896551724137933
xlm-roberta-base,zh_gsd,0.9357326478149101,0.5861182519280206,0.010282776349614291,-0.0128534704370179
