lang,model,condition,mean,lo,hi
de_gsd,bert-base-multilingual-cased,full,1.0,1.0,1.0
de_gsd,xlm-roberta-base,full,0.977011,0.950276,0.994766
en_ewt,bert-base-multilingual-cased,full,0.969231,0.945736,0.988555
en_ewt,xlm-roberta-base,full,0.967391,0.938547,0.989849
es_ancora,bert-base-multilingual-cased,full,0.95,0.920187,0.976096
es_ancora,xlm-roberta-base,full,0.972222,0.948052,0.990951
ru_syntagrus,bert-base-multilingual-cased,full,0.975309,0.956392,0.990798
ru_syntagrus,xlm-roberta-base,full,0.961039,0.926174,0.987654
tr_imst,bert-base-multilingual-cased,full,0.625,0.125,0.900119
tr_imst,xlm-roberta-base,full,1.0,1.0,1.0
zh_gsd,bert-base-multilingual-cased,full,0.964602,0.946387,0.980813
zh_gsd,xlm-roberta-base,full,1.0,1.0,1.0
de_gsd,bert-base-multilingual-cased,part,0.431818,0.280996,0.550265
de_gsd,xlm-roberta-base,part,0.712644,0.615374,0.794286
en_ewt,bert-base-multilingual-cased,part,0.476923,0.36322,0.57197
en_ewt,xlm-roberta-base,part,0.565217,0.447198,0.658038
es_ancora,bert-base-multilingual-cased,part,0.383333,0.255581,0.489883
es_ancora,xlm-roberta-base,part,0.481481,0.3707,0.579211
ru_syntagrus,bert-base-multilingual-cased,part,0.506173,0.414091,0.589095
ru_syntagrus,xlm-roberta-base,part,0.532468,0.391282,0.64073
tr_imst,bert-base-multilingual-cased,part,0.571101,-0.143731,0.918305
tr_imst,xlm-roberta-base,part,0.866667,0.6875,0.970609
zh_gsd,bert-base-multilingual-cased,part,0.469027,0.394916,0.535036
zh_gsd,xlm-roberta-base,part,0.6,0.25,0.809598
de_gsd,bert-base-multilingual-cased,head,0.386364,0.234129,0.517949
de_gsd,xlm-roberta-base,head,0.655172,0.552142,0.745354
en_ewt,bert-base-multilingual-cased,head,0.692308,0.610037,0.757353
en_ewt,xlm-roberta-base,head,0.695652,0.599974,0.775401
es_ancora,bert-base-multilingual-cased,head,0.666667,0.580247,0.742622
es_ancora,xlm-roberta-base,head,0.703704,0.621208,0.775787
ru_syntagrus,bert-base-multilingual-cased,head,0.716049,0.651003,0.774396
ru_syntagrus,xlm-roberta-base,head,0.727273,0.627568,0.809524
tr_imst,bert-base-multilingual-cased,head,0.5,-0.125,0.826268
tr_imst,xlm-roberta-base,head,0.666667,0.36,0.852941
zh_gsd,bert-base-multilingual-cased,head,0.60177,0.540174,0.657147
zh_gsd,xlm-roberta-base,head,0.666667,0.375,0.861111
de_gsd,bert-base-multilingual-cased,morph,0.545455,0.420702,0.644458
de_gsd,xlm-roberta-base,morph,0.586207,0.476738,0.68501
en_ewt,bert-base-multilingual-cased,morph,0.369231,0.243567,0.472131
en_ewt,xlm-roberta-base,morph,0.358696,0.212605,0.479592
es_ancora,bert-base-multilingual-cased,morph,0.433333,0.321114,0.536
es_ancora,xlm-roberta-base,morph,0.5,0.388392,0.594947
ru_syntagrus,bert-base-multilingual-cased,morph,0.666667,0.59104,0.730775
ru_syntagrus,xlm-roberta-base,morph,0.441558,0.294078,0.562139
tr_imst,bert-base-multilingual-cased,morph,0.375,-0.363636,0.736842
tr_imst,xlm-roberta-base,morph,0.4,-0.045509,0.666892
zh_gsd,bert-base-multilingual-cased,morph,-0.017699,-0.133196,0.079403
zh_gsd,xlm-roberta-base,morph,0.066667,-0.521739,0.452381
